platform,user_id,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,interaction_type,interaction_value,timestamp
Disney,user_3,s607,Movie,The Finest Hours,Craig Gillespie,"Chris Pine, Casey Affleck, Ben Foster, Holliday Grainger, John Ortiz, Kyle Gallner",United States,"March 6, 2020",2016,PG-13,119 min,"Action-Adventure, Disaster, Drama",Based on a true story of the Coast Guard’s most daring rescue.,watch,,2025-01-25 19:20:11
Disney,user_3,s1341,Movie,The Story of Robin Hood And His Merrie Men,Ken Annakin,"Richard Todd, Joan Rice, Peter Finch, James Hayter, Martita Hunt, James Justice",United Kingdom,"November 12, 2019",1952,PG,84 min,"Action-Adventure, Family",Prince John conspires to gain power when King Richard leaves England.,watch,,2025-05-04 19:20:11
Disney,user_3,s461,TV Show,What Sam Sees,,Sam Peltz,,"July 31, 2020",2018,TV-G,1 Season,"Animals & Nature, Docuseries, Family","Join Sam on an underwater journey and learn about sharks, eels, and more!",like,,2024-10-23 19:20:11
Disney,user_4,s455,Movie,Incredibles 2,Brad Bird,"Craig Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Catherine Keener, Eli Fucile",United States,"July 31, 2020",2018,PG,118 min,"Action-Adventure, Animation, Family",The Incredibles spring into action when a dangerous new villain emerges.,rate,4.0,2024-11-11 19:20:11
Disney,user_4,s519,Movie,Mickey and the Seal,Charles Nichols,,United States,"May 29, 2020",1948,TV-G,7 min,"Animation, Family",Mickey and Pluto get into trouble with a mischievous seal.,rate,5.0,2025-01-10 19:20:11
Disney,user_4,s1447,Movie,Night at the Museum: Battle of the Smithsonian,Shawn Levy,"Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria, Christopher Guest, Alain Chabat","United States, Canada","April 2, 2021",2009,PG,106 min,"Action-Adventure, Comedy, Family",Larry Daley returns to rescue some old friends while the Smithsonian Institution comes alive.,like,,2024-09-24 19:20:11
Disney,user_4,s651,Movie,Cars Toon: Rescue Squad Mater,John Lasseter,"Larry the Cable Guy , Keith Ferguson, Bret Parker, Peter Sohn, Bob Peterson, Bob Scott",United States,"January 1, 2020",2010,TV-Y7,3 min,"Animation, Comedy, Family",Mater is a fire truck that rescues McQueen from a fire,like,,2025-05-12 19:20:11
Disney,user_4,s1236,Movie,Teen Beach Movie,Jeffrey Hornaday,"Ross Lynch, Maia Mitchell, Grace Phipps, Garrett Clayton, John DeLuca, Chrissie Fit",United States,"November 12, 2019",2013,TV-G,97 min,"Coming of Age, Fantasy, Musical",McKenzie and her boyfriend Brady catch a wave into a retro coastal musical.,like,,2024-10-30 19:20:11
Disney,user_4,s1396,Movie,Twitches Too,Stuart Gillard,"Tia Mowry, Tamera Mowry, Kristen Wilson, Patrick Fabian, Pat Kelly, Leslie Seiler",United States,"November 12, 2019",2007,TV-PG,84 min,"Comedy, Fantasy","When a new evil threat arrives, it's up to the twitches to save Coventry.",watch,,2025-07-13 19:20:11
Disney,user_4,s1025,TV Show,Lost Treasures of the Maya,,Albert Lin,"United States, Guatemala","November 12, 2019",2018,TV-PG,1 Season,"Docuseries, Historical",A high-tech treasure map rewrites the history of the ancient Maya in the Guatemalan jungle.,rate,4.0,2025-07-24 19:20:11
Disney,user_4,s342,Movie,High School Musical: The Musical: The Holiday Special,,"Olivia Rodrigo, Joshua Bassett, Sofia Wylie, Matt Cornett, Larry Saperstein, Julia Lester",United States,"December 11, 2020",2020,TV-G,46 min,"Drama, Music, Romance",The cast of High School Musical: The Musical: The Series celebrates the holidays with music & more!,rate,5.0,2025-03-12 19:20:11
Disney,user_4,s732,Movie,Atlantis Rising,Simcha Jacobovici,"Georgeos Diaz-Montexano, Peter Vincenti, Richard Freund, Simcha Jacobovici, Charles Pellegrino, Félix Rodrigues",Canada,"November 12, 2019",2017,TV-PG,94 min,"Documentary, Historical",Filmmakers go in search of Atlantis using Plato's writings as a guide to lead the way.,like,,2025-04-13 19:20:11
Disney,user_4,s443,Movie,Star Wars: Galaxy's Edge-Adventure Awaits,,"Neil Harris, Kaley Cuoco, Oscar Isaac, Sarah Hyland, Keegan-Michael Key, Jay Leno",United States,"August 7, 2020",2019,TV-PG,81 min,"Documentary, Family",Celebrating Disney’s new land that brings Star Wars to life!,rate,4.0,2025-07-29 19:20:11
Disney,user_5,s776,Movie,Canine Caddy,Clyde Geronimi,,United States,"November 12, 2019",1941,TV-G,8 min,"Animation, Comedy, Family",Pluto caddies for Mickey on the golf course. See details for advisory.,rate,4.0,2025-06-20 19:20:11
Disney,user_5,s447,TV Show,Animal Showdown,,Brian Peck,,"July 31, 2020",2018,TV-G,1 Season,"Animals & Nature, Docuseries, Family",Animals face-off in this surprising competition of the toughest and biggest in the animal kingdom.,rate,4.0,2024-11-22 19:20:11
Disney,user_5,s69,Movie,Just Roll With It: You Decide Live!,,"Tobie Windham, Suzi Barrett, Ramon Reed, Kaylin Hayman, JC Currais, Raven-Symoné",,"October 8, 2021",2019,G,52 min,Comedy,The Bennett-Blatts set out to reverse an evil curse!,watch,,2024-10-04 19:20:11
Disney,user_5,s1387,Movie,Treasure of Matecumbe,Vincent McEveety,"Robert Foxworth, Joan Hackett, Peter Ustinov, Vic Morrow, Johnny Doran, Billy Attmore",United States,"November 12, 2019",1976,G,116 min,"Action-Adventure, Family, Mystery","Using a secret map, friends face a dangerous search for pirate gold. See details for advisory.",rate,5.0,2025-03-10 19:20:11
Disney,user_5,s510,Movie,Chasing the Equinox,Kenny Scott,Stefan Frank,,"June 5, 2020",2019,TV-PG,45 min,Documentary,Ancient civilizations shared an incredible knowledge of the sun.,watch,,2024-09-13 19:20:11
Disney,user_5,s815,Movie,Disney Adventures in Babysitting,John Schultz,"Sabrina Carpenter, Sofia Carson, Nikki Hahn, Mallory Mahoney, Max Gecowets, Jet Jurgensmeyer",United States,"November 12, 2019",2016,TV-G,95 min,"Action-Adventure, Comedy, Coming of Age",Rival babysitters join forces to search the city for a kid who’s snuck out.,like,,2025-04-26 19:20:11
Disney,user_5,s198,Movie,Strange Magic,Gary Rydstrom,"Alan Cumming, Evan Rachel Wood, Elijah Kelley, Meredith Anne Bull, Sam Palladio, Kristin Chenoweth","United States, Canada, United Kingdom, Singapore, Australia, Thailand","June 11, 2021",2015,PG,101 min,"Action-Adventure, Animation, Family",A tough fairy princess crosses paths with the sinister Bog King.,like,,2025-09-07 19:20:11
Disney,user_5,s313,TV Show,Elena of Avalor,,"Aimee Carrero, Jenna Ortega, Keith Ferguson, Jillian Reed, Carlos Alazraqui, Mikey Kelley",United States,"January 15, 2021",2015,TV-Y7,3 Seasons,"Action-Adventure, Animation, Fantasy",Elena of Avalor must learn to rule!,watch,,2024-12-17 19:20:11
Disney,user_5,s138,Movie,Beverly Hills Chihuahua 2,Alex Zamm,"George Lopez, Odette Yustman, Miguel Ferrer, Ernie Hudson, Loretta Devine, Jon Huertas",United States,"August 6, 2021",2011,G,88 min,"Action-Adventure, Comedy, Family","Papi and Chloe, those talking Chihuahuas, are back... with a few surprises.",like,,2025-05-09 19:20:11
Disney,user_5,s583,Movie,On Ice,Ben Sharpsteen,"Pinto Colvig, Walt Disney, Marcellite Garner",United States,"April 3, 2020",1935,TV-G,9 min,"Animation, Comedy, Family",Mickey and friends enjoy skating on a frozen river. See details for advisory.,like,,2025-08-18 19:20:11
