platform,item_id,title,description,category,user_id,interaction_type,interaction_value,timestamp
Netflix,s4618,Paradise Lost,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.","Dramas, Independent Movies, International Movies",netflix_user_4,watch,1,29-09-2022
Netflix,s5365,Un plus une,"A womanizing musician travels to India, where he composes a Bollywood film score and unexpectedly falls for the wife of the French ambassador.","Comedies, Dramas, International Movies",netflix_user_4,watch,1,13-10-2021
Netflix,s2694,Love Wedding Repeat,"Different versions of the same day unfold as Jack juggles difficult guests, unbridled chaos and potential romance at his sister's wedding.","Comedies, International Movies, Romantic Movies",netflix_user_4,watch,1,06-11-2024
Netflix,s1795,The Devil Punisher,"A baker by day and demon fighter by night, a reincarnated deity must jog his amnesiac lover's memory of their millennium-long romance.","International TV Shows, Romantic TV Shows, TV Mysteries",netflix_user_4,watch,1,21-11-2019
Netflix,s3720,Bolívar,"This dramatization depicts the life – and loves – of Venezuelan Gen. Simón Bolívar, who helped liberate several Latin American countries from Spain.","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",netflix_user_5,watch,1,03-04-2024
Netflix,s1122,Legally Blonde,"When dazzling L.A. sorority girl Elle Woods gets dumped by her snobby boyfriend, she decides to win him back by following him to Harvard Law School.","Comedies, Romantic Movies",netflix_user_5,watch,1,06-08-2022
Netflix,s767,Alan Saldaña: Locked Up,"Mexican comedian Alan Saldaña is back, poking gentle fun at himself and parceling advice, especially about how to stay married and how to be parents.",Stand-Up Comedy,netflix_user_5,watch,1,15-05-2018
Netflix,s8700,Warehoused,A soon-to-be-retiring Mr. Lino teaches 20-something Nin the strict rules of his new warehouse job in this dramedy about the absurdities of work life.,"Comedies, Dramas, International Movies",netflix_user_5,watch,1,06-02-2022
Netflix,s3342,Mobile Suit Gundam: Iron-Blooded Orphans,"On a terraformed post-disaster Mars, a group of child security agents rebel against the adults who betrayed them and the oppressive Earth government.","Anime Series, International TV Shows",netflix_user_5,watch,1,02-03-2020
Netflix,s6126,Alpha and Omega: The Legend of the Saw Tooth Cave,"When a wolf pup named Runt sneaks off to explore a mysterious cave, he meets and befriends a wolf driven from her pack because she's blind.",Children & Family Movies,netflix_user_6,watch,1,15-09-2022
Netflix,s2239,Sunny Bunnies,"Furry little bunnies hop through wild adventures as they find solutions, fun and sometimes mischief wherever there is light.","British TV Shows, Kids' TV, TV Comedies",netflix_user_6,watch,1,03-07-2018
Netflix,s6797,Freak Show,"Forced to attend a new high school, a glamorous teen navigates hostile territory before taking a stand by running for homecoming queen.","Comedies, Dramas, Independent Movies",netflix_user_6,watch,1,24-02-2020
Netflix,s4128,Live,The police officers at South Korea's busiest patrol division toil day and night as keepers of law and peace – but the reality is far from orderly.,"Crime TV Shows, International TV Shows, Korean TV Shows",netflix_user_6,watch,1,10-05-2020
Netflix,s4985,Secret of the Nile,"When his sister disappears while working at the Grand Hotel, a man joins the staff to get answers. Inside its posh walls, he finds love and intrigue.","International TV Shows, Romantic TV Shows, TV Dramas",netflix_user_6,watch,1,11-07-2018
Netflix,s2858,Calico Critters Mini Episodes Clover,"From throwing parties to planning fashion shows, the Hopscotch Rabbit Family is ready to leap into the daily adventures of their sweet town.",Kids' TV,netflix_user_7,watch,1,21-11-2019
Netflix,s6926,Hardcore Henry,"Shot entirely like a first-person shooter video game, this film tracks Henry, a cyborg racing to save his wife from a villain with paranormal powers.","Action & Adventure, International Movies, Sci-Fi & Fantasy",netflix_user_7,watch,1,08-01-2018
Netflix,s1458,Jenni Rivera: Mariposa de Barrio,This drama follows Mexican-American singer Jenni Rivera's unlikely rise from suicidal pregnant teen and abused wife to banda superstar.,"Spanish-Language TV Shows, TV Dramas",netflix_user_7,watch,1,25-05-2022
Netflix,s7780,Power Rangers Super Samurai,"The Samurai Power Rangers continue their battle against the evil Master Xandred, who has now joined forces with the malevolent Serrator.",Kids' TV,netflix_user_7,watch,1,06-04-2023
Netflix,s1487,Death to 2020,"As the year we all want to end finally does, take a look back at 2020's mad glory in this comedic retrospective from the creators of ""Black Mirror.""",Comedies,netflix_user_7,watch,1,01-04-2018
Netflix,s4948,A Sort of Family,An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt.,"Dramas, International Movies, Thrillers",netflix_user_8,watch,1,10-02-2019
Netflix,s5448,Aashik Awara,"Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths.","Dramas, International Movies, Music & Musicals",netflix_user_8,watch,1,05-03-2018
Netflix,s8600,Toast of London,"After a divorce and fatal career move, a classically trained British stage actor navigates single life with his odd roommate and takes on horrid jobs.","British TV Shows, Classic & Cult TV, TV Comedies",netflix_user_8,watch,1,05-10-2020
Netflix,s2941,Jada,"Wishing to settle an old score, a promising soccer player defies his coach’s wishes and leads his team to participate in a violent form of the sport.","Dramas, International Movies, Sports Movies",netflix_user_8,watch,1,20-06-2018
Netflix,s7176,Ken Burns: The Civil War,"Ken Burns's documentary depicts the action of famous Civil War battles, and relates the stories of soldiers, generals and a beleaguered president.",Docuseries,netflix_user_8,watch,1,27-05-2018
Netflix,s2848,Freaks,"Hidden away by her eccentric father, a mysterious young girl uncovers frightening truths when she starts to make contact with the outside world.","Independent Movies, Sci-Fi & Fantasy, Thrillers",netflix_user_9,watch,1,12-10-2023
Netflix,s4852,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,"Longtime pals and showbiz icons Steve Martin and Martin Short share countless quips, catchy tunes and hilarious stories about their lives in comedy.",Stand-Up Comedy,netflix_user_9,watch,1,05-04-2018
Netflix,s3343,Queer Eye: We're in Japan!,"The Fab Five touch down in Tokyo to spread the joy, explore the culture, and help four Japanese men and women find the confidence to be themselves.","International TV Shows, Reality TV",netflix_user_9,watch,1,20-12-2024
Netflix,s293,Quartet,"To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing.","Comedies, Dramas, Independent Movies",netflix_user_9,watch,1,14-02-2020
Netflix,s6187,Arthur Christmas,"At Santa Claus's super-secret toy-making facility, Mr. Claus entrusts his son, Arthur, to carry out an ultra-important Christmas mission.","Children & Family Movies, Comedies",netflix_user_9,watch,1,08-12-2018
Netflix,s8326,"The Goods: Live Hard, Sell Hard","Hired to rescue a flagging car dealership during a major sale, a fast-talking closer spends his days on the lot and his nights at local strip clubs.",Comedies,netflix_user_10,watch,1,09-07-2021
Netflix,s3293,To Be of Service,"Traumatized by combat, newly returned war veterans find solace in service dogs that guide them back to a fulfilling civilian life.",Documentaries,netflix_user_10,watch,1,04-04-2019
Netflix,s1956,The School Nurse Files,"Wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see.","International TV Shows, TV Dramas, TV Mysteries",netflix_user_10,watch,1,25-06-2021
Netflix,s3076,Spinning Out,"A figure skating Olympic hopeful struggles to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.",TV Dramas,netflix_user_10,watch,1,20-06-2021
Netflix,s8807,Zubaan,"A scrappy but poor boy worms his way into a tycoon's dysfunctional family, while facing his fear of music and the truth about his past.","Dramas, International Movies, Music & Musicals",netflix_user_10,watch,1,10-07-2019
Netflix,s3654,Comedians in Cars Getting Coffee,"Jerry Seinfeld's roving talk show combines coffee, laughs and vintage cars into quirky, caffeine-fueled adventures with the sharpest minds in comedy.","Stand-Up Comedy & Talk Shows, TV Comedies",netflix_user_11,watch,1,02-10-2023
Netflix,s4866,Bill Nye Saves the World,Emmy-winning host Bill Nye brings experts and famous guests to his lab for a talk show exploring scientific issues that touch our lives.,Stand-Up Comedy & Talk Shows,netflix_user_11,watch,1,27-07-2018
Netflix,s3940,Petta,"An affable, newly appointed college warden proves to be no ordinary man when an old enemy resurfaces and exposes his complicated, violent past.","Action & Adventure, Comedies, Dramas",netflix_user_11,watch,1,15-02-2019
Netflix,s3254,"Lorena, Light-Footed Woman",Lorena Ramírez of Mexico's Rarámuri community lives a pastoral life – except when she straps on her sandals to compete as an ultramarathon runner.,"Documentaries, International Movies, Sports Movies",netflix_user_11,watch,1,02-08-2022
Netflix,s8482,The Republic of Imbaba,"Living on the edges of Cairo’s Embabah neighborhood, several residents seek to better their circumstances following the January 25 Revolution.","Dramas, International Movies",netflix_user_11,watch,1,23-09-2021
Netflix,s3462,Cheese in the Trap,"In this adaptation of a popular webtoon, a poor student trying to navigate college life gains the attention of a wealthy upperclassman with a dark side.","International TV Shows, Korean TV Shows, Romantic TV Shows",netflix_user_12,watch,1,27-09-2022
Netflix,s4820,Brain on Fire,"Stricken with seizures, psychosis and memory loss, a young New York Post reporter visits doctor after doctor in search of an elusive diagnosis.","Dramas, Independent Movies, International Movies",netflix_user_12,watch,1,05-09-2022
Netflix,s828,One Lagos Night,"A desperate man attempts to burglarize the home of a wealthy woman, but finds himself face-to-face with a crew of armed robbers who have the same idea.","Comedies, International Movies",netflix_user_12,watch,1,11-04-2023
Netflix,s5773,My Big Night,An unemployed man gets a job as an extra at the shooting of a New Year's Eve TV special that's beset by crises and seems to go on forever.,"Comedies, International Movies, Music & Musicals",netflix_user_12,watch,1,21-02-2021
Netflix,s2655,The Set Up,Manipulation and personal vendettas collide when a con artist hires a young woman to assist with his scheme to marry a wealthy heiress.,"Dramas, International Movies",netflix_user_12,watch,1,06-09-2022
Netflix,s3756,Jinn,"On a field trip to Petra, two jinns – one good, the other evil – enter the human realm, turning high school into a supernatural battleground.","International TV Shows, TV Dramas, TV Mysteries",netflix_user_13,watch,1,23-10-2018
Netflix,s621,Droppin' Cash: Los Angeles,This Complex series follows the paper trail of musicians and athletes in Los Angeles as they blow through stacks on the finer things in life.,Reality TV,netflix_user_13,watch,1,18-06-2021
Netflix,s3216,The Accidental Spy,"Nursing a broken heart, an IT specialist moves to London to audition for a reality TV show that unexpectedly turns into a real-life cartel drama.","Action & Adventure, Comedies, International Movies",netflix_user_13,watch,1,07-10-2018
Netflix,s8140,Sweet Virginia,"In a remote Alaskan town reeling from a sudden triple murder, a former rodeo champ befriends a lone newcomer with a violent occupation.","Dramas, Independent Movies, Thrillers",netflix_user_13,watch,1,19-08-2023
Netflix,s5866,Marvel Super Hero Adventures: Frost Fight!,"In this Christmas-themed special, Captain America and the Avengers battle Loki and Ymir, who plot to steal Santa Claus' powers and conquer the world.","Children & Family Movies, Sci-Fi & Fantasy",netflix_user_13,watch,1,31-12-2024
Netflix,s7862,Revelations,"After four years together, a husband and wife become entangled in secret, sexually charged relationships that threaten to unravel their marriage.","Dramas, International Movies",netflix_user_14,watch,1,16-08-2024
Netflix,s638,Ray,"From a satire to a psychological thriller, four short stories from celebrated auteur and writer Satyajit Ray are adapted for the screen in this series.","International TV Shows, TV Dramas, TV Mysteries",netflix_user_14,watch,1,19-10-2022
Netflix,s6719,Exclusive Edition,"Young journalists working for a magazine juggle careers, romance and other challenges while reporting on social issues and news stories in Malaysia.","International TV Shows, TV Dramas",netflix_user_14,watch,1,12-09-2018
Netflix,s6541,Crash,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of people from all walks of life converge during a 36-hour period.","Dramas, Independent Movies",netflix_user_14,watch,1,07-07-2022
Netflix,s5386,Take Me,"With his simulated kidnapping business flagging, an entrepreneur jumps at a weekend abduction opportunity – only to find the job isn't what it seems.","Comedies, Independent Movies",netflix_user_14,watch,1,09-12-2023
Netflix,s7685,Our House,"A young man invents a device he hopes will generate wireless energy, but instead, it proves to spark sinister, supernatural activity in his home.","Horror Movies, Thrillers",netflix_user_15,watch,1,03-12-2018
Netflix,s1952,A Perfect Crime,"This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification.","Crime TV Shows, Docuseries, International TV Shows",netflix_user_15,watch,1,16-12-2022
Netflix,s3141,Isoken,"Single at 34, Isoken is maneuvered by her mother toward a relationship with a black entrepreneur but finds herself drawn to a white photojournalist.","Comedies, International Movies, Romantic Movies",netflix_user_15,watch,1,09-09-2023
Netflix,s2427,BAKI,"While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on.","Anime Series, International TV Shows",netflix_user_15,watch,1,21-06-2024
Netflix,s7996,Shanghai,Three disparate characters uncover government corruption as a small Indian town receives an influx of foreign money to turn it into the next Shanghai.,"Dramas, Independent Movies, International Movies",netflix_user_15,watch,1,05-05-2020
Netflix,s5814,Louis C.K.: Live at the Comedy Store,"The comic puts his trademark hilarious/thought-provoking spin on finding a bat in his kitchen, seeing rats having sex, Boston accents and dead pets.",Movies,netflix_user_16,watch,1,03-05-2022
Netflix,s4599,Pizza,A pizza delivery boy who doesn't believe in the supernatural is forced to confront his convictions after being trapped in a house on his route.,"Horror Movies, International Movies, Thrillers",netflix_user_16,watch,1,29-03-2024
Netflix,s8346,The Hollow Point,New straight-arrow sheriff Wallace finds he must join forces with brutal ex-lawman Leland to protect a troubled border town from a cartel hit man.,Action & Adventure,netflix_user_16,watch,1,24-09-2018
Netflix,s3388,Master Z: The Ip Man Legacy,"In this spin-off, a martial arts expert once defeated by Ip Man is forced to abandon his reclusive lifestyle to combat a rising Chinese triad.","Action & Adventure, International Movies",netflix_user_16,watch,1,28-11-2024
Netflix,s5168,Mudbound,"Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era.","Dramas, Independent Movies",netflix_user_16,watch,1,12-08-2019
Netflix,s4892,My Perfect Romance,"Just in time for Valentine's Day, a program developer pitches a revolutionary dating algorithm to her new CEO, who volunteers them as guinea pigs.","Comedies, International Movies, Romantic Movies",netflix_user_17,watch,1,29-04-2023
Netflix,s4904,Black Crows,"This drama portrays women and kids living under the Islamic State group: a Yazidi slave, an undercover reporter, a recruited mom and child snipers.","International TV Shows, TV Dramas",netflix_user_17,watch,1,06-08-2022
Netflix,s5582,The Butterfly's Dream,"Forced to work in a coal mine during World War II, two young poets find some escape when they both fall for the same woman.","Dramas, International Movies, Romantic Movies",netflix_user_17,watch,1,17-09-2019
Netflix,s8647,Twirlywoos,"The colorful and curious family of Twirlywoos bounces around their boat and visits new places, turning learning into adventures wherever they land.","British TV Shows, Kids' TV",netflix_user_17,watch,1,07-10-2018
Netflix,s6322,Black & Privileged: Volume 1,"When low-income families move into a thriving black community in Chicago, they find themselves at odds with politicians to maintain their status.",Dramas,netflix_user_17,watch,1,27-11-2023
Netflix,s6766,Five Elements Ninjas,"When five ninjas whose fighting styles are based on natural elements unleash their fury on a rival school, a lone survivor vows deadly revenge.","Action & Adventure, International Movies",netflix_user_18,watch,1,01-01-2023
Netflix,s5592,Legend Quest,"When an evil force threatens his village, a gifted teen who can talk to ghosts puts his skills to good use, one legend at a time.",Kids' TV,netflix_user_18,watch,1,30-03-2022
Netflix,s6655,Dum,"When one of his colleagues becomes corrupted by power and goes over to the dark side, a young police officer tries to bring the offender to justice.","Action & Adventure, Dramas, International Movies",netflix_user_18,watch,1,05-05-2021
Netflix,s3001,Pandemic: How to Prevent an Outbreak,"In this docuseries, meet the heroes on the front lines of the battle against influenza and learn about their efforts to stop the next global outbreak.","Docuseries, Science & Nature TV",netflix_user_18,watch,1,05-08-2021
Netflix,s4101,Buddies,"Inspired by the movie ""Thelma & Louise,"" three young people with Down syndrome leave the institution where they live to take a road trip together.","Comedies, Dramas, Independent Movies",netflix_user_18,watch,1,09-09-2024
Netflix,s7793,Prescription Thugs,A documentarian uses his own family's experiences as a springboard to explore the ethical issues surrounding the FDA and pharmaceutical industry.,Documentaries,netflix_user_19,watch,1,19-11-2018
Netflix,s4142,Littlest Pet Shop: A World of Our Own,"In Paw-Tucket, pets of all types form friendships, pursue their passions and have a great time being themselves.",Kids' TV,netflix_user_19,watch,1,15-08-2023
Netflix,s7060,In Between,An author having trouble finishing his new romance novel because he's lost faith in love regains his romantic soul after meeting a flight attendant.,"International TV Shows, Romantic TV Shows, TV Comedies",netflix_user_19,watch,1,14-01-2024
Netflix,s4330,A Beautiful Life,"After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.","Dramas, International Movies, Romantic Movies",netflix_user_19,watch,1,30-03-2019
Netflix,s7598,North & South,"When her father moves his family to an industrial mill town, the parson's daughter, Margaret Hale, struggles to adapt to her harsh new surroundings.","British TV Shows, Romantic TV Shows, TV Dramas",netflix_user_19,watch,1,09-04-2022
Netflix,s674,No Time for Shame,"Follow Santiago Artemis, a Buenos Aires fashion dynamo, as he makes his dreams come true while grappling with his love life, therapist and clients.","International TV Shows, Reality TV, Spanish-Language TV Shows",netflix_user_20,watch,1,22-03-2023
Netflix,s5868,Care Bears & Cousins,"The whole huggable gang is back, bringing tales of caring and sharing to a new generation. And now the Care Bear Cousins are here to join the fun!",Kids' TV,netflix_user_20,watch,1,26-07-2019
Netflix,s6287,"Berlin, I Love You","Set in the Grey City, this ""Cities of Love"" installment is a star-studded, 10-story collection of redemptive love, crushing loss and everyday romances.","Dramas, International Movies, Romantic Movies",netflix_user_20,watch,1,09-09-2024
Netflix,s3694,Katherine Ryan: Glitter Room,"Fresh from a tour, comedian Katherine Ryan shares shrewd observations about school bullies, revenge bodies and raising a very fancy child.",Stand-Up Comedy,netflix_user_20,watch,1,19-12-2018
Netflix,s4891,John Mulaney: Kid Gorgeous at Radio City,"John Mulaney relays stories from his childhood and “SNL,” eviscerates the value of college and laments getting older in this electric comedy special.",Stand-Up Comedy,netflix_user_20,watch,1,09-11-2023
Netflix,s828,One Lagos Night,"A desperate man attempts to burglarize the home of a wealthy woman, but finds himself face-to-face with a crew of armed robbers who have the same idea.","Comedies, International Movies",netflix_user_21,watch,1,17-01-2019
Netflix,s6226,Band Aid,"A young married couple tries to save their disintegrating relationship by turning their fights into songs, with the help of an oddball neighbor.","Comedies, Dramas, Independent Movies",netflix_user_21,watch,1,20-12-2022
Netflix,s470,American Woman,"In rural Pennsylvania, a working-class single mom must pick up the pieces and step up to raise her grandson after her daughter suddenly disappears.","Dramas, Independent Movies",netflix_user_21,watch,1,01-10-2021
Netflix,s2774,Willy and the Guardians of the Lake: Tales from the Lakeside Winter Adventure,"As winter approaches the lake, a common threat rattles the Verdies and Grimps as Willy Whistle looks to seize his chance to become a guardian.",Children & Family Movies,netflix_user_21,watch,1,20-09-2019
Netflix,s6397,Cézanne et moi,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.","Dramas, Independent Movies, International Movies",netflix_user_21,watch,1,06-08-2019
Netflix,s777,American Outlaws,"In the wake of the Civil War, Jesse James leads a feisty group of ranchers in a fight against a railroad baron bent on seizing their land at any cost.",Action & Adventure,netflix_user_22,watch,1,22-11-2022
Netflix,s697,Black Summer,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.","TV Action & Adventure, TV Dramas, TV Horror",netflix_user_22,watch,1,08-09-2020
Netflix,s7307,Lila & Eve,"After each of them loses a child to murder, two women who meet in a support group initiate their own investigation when the police are no help.","Dramas, Thrillers",netflix_user_22,watch,1,06-06-2022
Netflix,s1723,DASH & LILY,Opposites attract at Christmas as cynical Dash and sunny Lily trade messages and dares in a red notebook they pass back and forth around New York City.,"Romantic TV Shows, TV Comedies, TV Dramas",netflix_user_22,watch,1,14-02-2023
Netflix,s7729,Perfect Stranger,Ro risks her life to discover the identity of a stranger lurking on the Internet who might hold the answers to her friend's murder.,Thrillers,netflix_user_22,watch,1,28-10-2020
Netflix,s289,Las muñecas de la mafia,"Based on the book ""Las Fantásticas,"" this exciting telenovela follows the tumultuous lives of five women who get mixed up with the Mafia.","Crime TV Shows, International TV Shows, Spanish-Language TV Shows",netflix_user_23,watch,1,16-09-2023
Netflix,s4133,Romance is a bonus book,A gifted writer who's the youngest editor-in-chief ever at his publishing company gets enmeshed in the life of a former copywriter desperate for a job.,"International TV Shows, Korean TV Shows, Romantic TV Shows",netflix_user_23,watch,1,28-06-2022
Netflix,s8282,The Drowning,"Child psychologist Tom Seymour's testimony helped convict a boy of murder. Years later, their paths cross again, raising uncomfortable questions.",Thrillers,netflix_user_23,watch,1,21-02-2020
Netflix,s7886,Roh's Beauty,"Hoping to earn money to support her son, a single mother sings in a nightclub, where danger lurks around every corner.","Dramas, International Movies",netflix_user_23,watch,1,07-09-2024
Netflix,s2109,Goedam,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.","International TV Shows, TV Horror, TV Mysteries",netflix_user_23,watch,1,15-06-2023
Netflix,s4318,Dumplin',"To prove a point about measuring up and fitting in, Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom.","Comedies, Dramas, Independent Movies",netflix_user_24,watch,1,13-04-2022
Netflix,s4666,Carbon,"On the verge of losing his business, an entrepreneur launches a carbon tax scam that thrusts him into a web of criminals, intrigue and murder.","Dramas, International Movies, Thrillers",netflix_user_24,watch,1,17-11-2024
Netflix,s4520,The Kindergarten Teacher,A devoted teacher takes interest in a young student's creative potential after hearing his poetry. But she soon crosses the line into obsession.,"Dramas, Independent Movies",netflix_user_24,watch,1,12-04-2023
Netflix,s8042,Slow West,"Determined to find the woman he loves, a Scottish teenager braves the Western frontier of 19th-century America, with bounty hunters hot on his trail.","Action & Adventure, Dramas, International Movies",netflix_user_24,watch,1,18-09-2021
Netflix,s7971,Secrets of Althorp - The Spencers,"Princess Diana's brother, Charles, the ninth Earl Spencer, leads a tour of Althorp House, the manor the Spencer family has called home for 500 years.","Documentaries, International Movies",netflix_user_24,watch,1,26-11-2023
Netflix,s7636,Océans,This documentary examines the vital role water plays in human existence and the cause-and-effect interplay between oceans and the environment.,"Documentaries, International Movies",netflix_user_25,watch,1,02-11-2021
Netflix,s2710,Coffee & Kareem,An inept Detroit cop must team up with his girlfriend's foul-mouthed young son when their first crack at bonding time uncovers a criminal conspiracy.,"Action & Adventure, Comedies",netflix_user_25,watch,1,24-04-2022
Netflix,s7445,Menorca,A hedonistic soccer mom takes a voyage of self-discovery when she tries to reconnect with her son by returning his pet rock to a Mediterranean island.,"Dramas, Independent Movies",netflix_user_25,watch,1,08-07-2023
Netflix,s2609,Murder to Mercy: The Cyntoia Brown Story,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",Documentaries,netflix_user_25,watch,1,12-06-2018
Netflix,s1886,Bad Boy Billionaires: India,"This investigative docuseries explores the greed, fraud and corruption that built up — and ultimately brought down — India’s most infamous tycoons.","British TV Shows, Docuseries, International TV Shows",netflix_user_25,watch,1,22-12-2018
Netflix,s4371,The Tribe,"An executive-turned-viral sensation loses his reputation and his memory, but finds a new life with his biological mother and her empowered dance group.","Comedies, International Movies",netflix_user_26,watch,1,31-08-2022
Netflix,s563,Austin Powers: International Man of Mystery,"A swingin' fashion photographer by day and a groovy British secret agent by night, superspy Austin Powers must foil the sinister schemes of Dr. Evil.",Comedies,netflix_user_26,watch,1,24-08-2022
Netflix,s6978,Hitch,"Smooth and sexy Hitch helps clients make a great first impression on a date, but he's thrown when a lovely reporter starts nosing around his business.","Comedies, Romantic Movies",netflix_user_26,watch,1,23-11-2024
Netflix,s4588,Muran,"When jingle composer Nanda's car breaks down on his way to Chennai, he hitchhikes there with Arjun, who tries to rope Nanda into a shady deal.","Action & Adventure, International Movies",netflix_user_26,watch,1,03-04-2021
Netflix,s4939,Seth Rogen's Hilarity for Charity,"Seth Rogen and friends combine stand-up, sketches and music for an outrageous comedy special that could only come from the mind of Seth.",Stand-Up Comedy,netflix_user_26,watch,1,31-10-2024
